employee_id,skill_id,proficiency_level,years_of_experience
1,S1,Expert,5
1,S2,Intermediate,3
1,S4,Advanced,4
1,S6,Expert,5
1,S10,Advanced,5
1,S20,Advanced,5
2,S11,Expert,6
2,S12,Expert,5
2,S13,Advanced,4
2,S14,Expert,6
2,S18,Expert,7
2,S19,Advanced,4
3,S1,Expert,8
3,S2,Expert,7
3,S3,Advanced,6
3,S4,Expert,8
3,S5,Intermediate,2
3,S8,Advanced,5
3,S9,Advanced,4
3,S10,Expert,8
3,S19,Expert,5
3,S20,Expert,8
4,S15,Expert,5
4,S16,Advanced,4
4,S17,Intermediate,3
4,S18,Expert,6
5,S1,Advanced,4
5,S2,Intermediate,3
5,S6,Advanced,4
5,S7,Intermediate,2
5,S10,Intermediate,4
5,S20,Intermediate,3
